"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de pesticides et d'autres produits agrochimiques (NAF rév. 2, niveau groupe, poste 20.2)";"Codes"
"idBank";"010767801";""
"Dernière mise à jour";"03/04/2026 08:45";""
"Période";"";""
"2026-02";"96.74";"A"
"2026-01";"95.9";"A"
"2025-12";"103.25";"A"
"2025-11";"98.57";"A"
"2025-10";"104.18";"A"
"2025-09";"94.9";"A"
"2025-08";"111.08";"A"
"2025-07";"105.19";"A"
"2025-06";"101.12";"A"
"2025-05";"89.15";"A"
"2025-04";"107.75";"A"
"2025-03";"103.74";"A"
"2025-02";"100.34";"A"
"2025-01";"101.5";"A"
"2024-12";"92.66";"A"
"2024-11";"99.52";"A"
"2024-10";"93.14";"A"
"2024-09";"100.01";"A"
"2024-08";"90.3";"A"
"2024-07";"90.96";"A"
"2024-06";"96.26";"A"
"2024-05";"91.35";"A"
"2024-04";"88.06";"A"
"2024-03";"82.44";"A"
"2024-02";"96.39";"A"
"2024-01";"87.25";"A"
"2023-12";"86.76";"A"
"2023-11";"98.34";"A"
"2023-10";"88.33";"A"
"2023-09";"101.96";"A"
"2023-08";"92.09";"A"
"2023-07";"78.91";"A"
"2023-06";"83.26";"A"
"2023-05";"88.78";"A"
"2023-04";"87.7";"A"
"2023-03";"94.03";"A"
"2023-02";"84.9";"A"
"2023-01";"101.71";"A"
"2022-12";"137.66";"A"
"2022-11";"104.79";"A"
"2022-10";"110.71";"A"
"2022-09";"115.62";"A"
"2022-08";"113.6";"A"
"2022-07";"106.1";"A"
"2022-06";"105.69";"A"
"2022-05";"106.81";"A"
"2022-04";"97.92";"A"
"2022-03";"110.46";"A"
"2022-02";"99.11";"A"
"2022-01";"98.64";"A"
"2021-12";"126.32";"A"
"2021-11";"100.53";"A"
"2021-10";"104.76";"A"
"2021-09";"92.24";"A"
"2021-08";"92.44";"A"
"2021-07";"100.54";"A"
"2021-06";"104.9";"A"
"2021-05";"96.16";"A"
"2021-04";"91.79";"A"
"2021-03";"95.85";"A"
"2021-02";"101.44";"A"
"2021-01";"93.04";"A"
"2020-12";"95.08";"A"
"2020-11";"116.56";"A"
"2020-10";"97.99";"A"
"2020-09";"76.09";"A"
"2020-08";"90.74";"A"
"2020-07";"101.28";"A"
"2020-06";"96.59";"A"
"2020-05";"111.37";"A"
"2020-04";"107.59";"A"
"2020-03";"100.19";"A"
"2020-02";"97.76";"A"
"2020-01";"97.88";"A"
"2019-12";"88.95";"A"
"2019-11";"84.63";"A"
"2019-10";"71.7";"A"
"2019-09";"90.19";"A"
"2019-08";"89.94";"A"
